indicator_name;skill_id
Выявление, формулирование и документирование требований;1
Анализ и структурирование требований;1
Создание UML-диаграмм;2
BPMN: моделирование бизнес-процессов;2
Проектирование баз данных: создание ER-диаграмм, нормализация данных;2
Принципы REST, SOAP;3
Документирование API (Swagger, OpenAPI);3
Разработка понятных и структурированных инструкций;4
Адаптирование документации под различные аудитории (техническая и нетехническая);4
Оформление документации;4
Использование функций и плагинов IDE для разработки на Java;5
Использование Git для управления версиями кода;6
Команды для ветвления, слияния и разрешения конфликтов;6
Написание чистого, эффективного и поддерживаемого кода на Java;7
Основные библиотеки и фреймворки Java;7
Развертывание и настройки backend-приложений в различных средах;8
Проектирование RESTful или SOAP API;9
Создание и публикация спецификации API (OpenAPI, Swagger);9
Создание Docker-файлов и сбор Docker-образов;10
настройка контейнеров для работы backend-приложений;10
Работа с Docker-репозиториями;10
Использование возможностей IDE (VS Code, WebStorm, NetBeans) для разработки на JavaScript и React;11
Написание чистого и поддерживаемого кода на JS и React;12
ES6+, React Hooks, Redux;12
Написание тестов (Jest, React Testing Library);12
Настройка и развертывание React-приложение;13
Работа с инструментами сборки (Webpack, Babel);13
Основы CI/CD;13
Грамотная и структурированная разработка документов (тест-план, тест-кейсы, баг-репорты);14
Стандарты оформления и требований к документам;14
Использование инструментов для тестирования API (Swagger, Postman);15
Методы тестирования REST и SOAP API;15
Составление тест-кейсов для API;15
Анализ результатов тестирования и составление отчетов (включая release notes);16
Выявление и описание багов с предложениями по их устранению;16
Разработка ПМИ на основе требований;17
Разработка четких и понятных инструкций для конечных пользователей;18
Установка, настройка и управление сервисами на виртуальных машинах;19
Основы администрирования Linux-систем;19
Настройка веб-сервера, сервера приложений и базы данных;19
Создание и управление Docker-контейнерами для приложений;20
Основы оркестрации контейнеров в Kubernetes;20
Развертывание приложений в кластере Kubernetes;20
Настройка системы мониторинга (Prometheus, Grafana);21
Конфигурирование и логирование приложений и системных сервисов;21
Анализ и устранение инцидентов на основе логов и метрик;21

